id,favorite_count,retweet_count,created_at
712071411498508288,1,1,Tue Mar 22 00:20:28 +0000 2016
712035101866135553,6,3,Mon Mar 21 21:56:11 +0000 2016
712025747821428736,1,0,Mon Mar 21 21:19:01 +0000 2016
712308937865842688,0,5,Tue Mar 22 16:04:19 +0000 2016
712035627894710273,1,0,Mon Mar 21 21:58:17 +0000 2016
711993342972678144,3,1,Mon Mar 21 19:10:15 +0000 2016
712025660856729600,0,1,Mon Mar 21 21:18:41 +0000 2016
712029269094891520,0,0,Mon Mar 21 21:33:01 +0000 2016
712309054517878784,3,1,Tue Mar 22 16:04:47 +0000 2016
712034584712630273,20,4,Mon Mar 21 21:54:08 +0000 2016
712035761659445249,2,0,Mon Mar 21 21:58:49 +0000 2016
712054919751028736,1,0,Mon Mar 21 23:14:56 +0000 2016
712015122827350016,0,0,Mon Mar 21 20:36:48 +0000 2016
712223736641019905,1,0,Tue Mar 22 10:25:45 +0000 2016
711994091563692032,1,0,Mon Mar 21 19:13:14 +0000 2016
712026949162434560,1,0,Mon Mar 21 21:23:48 +0000 2016
711993767956353024,0,0,Mon Mar 21 19:11:57 +0000 2016
712040625756098560,0,0,Mon Mar 21 22:18:08 +0000 2016
711994374368862209,2,1,Mon Mar 21 19:14:21 +0000 2016
712024476058316800,0,1,Mon Mar 21 21:13:58 +0000 2016
712070121338998788,0,1,Tue Mar 22 00:15:21 +0000 2016
712007700440227840,0,0,Mon Mar 21 20:07:18 +0000 2016
712308665173147648,0,0,Tue Mar 22 16:03:14 +0000 2016
711994167111495680,0,0,Mon Mar 21 19:13:32 +0000 2016
712027190892716033,0,0,Mon Mar 21 21:24:45 +0000 2016
712222457411837952,0,0,Tue Mar 22 10:20:40 +0000 2016
712028536396259328,7,1,Mon Mar 21 21:30:06 +0000 2016
712032155543719941,12,8,Mon Mar 21 21:44:29 +0000 2016
712047184557031424,0,1,Mon Mar 21 22:44:12 +0000 2016
712015683610017792,1,0,Mon Mar 21 20:39:02 +0000 2016
712311849010614272,3,0,Tue Mar 22 16:15:53 +0000 2016
712353237819478016,2,4,Tue Mar 22 19:00:21 +0000 2016
712413750171545600,4,1,Tue Mar 22 23:00:48 +0000 2016
712342750864117761,1,0,Tue Mar 22 18:18:41 +0000 2016
712411669306200064,1,0,Tue Mar 22 22:52:32 +0000 2016
712320903397253120,0,0,Tue Mar 22 16:51:52 +0000 2016
712311312974348288,1,1,Tue Mar 22 16:13:45 +0000 2016
712313344590385152,4,1,Tue Mar 22 16:21:50 +0000 2016
712313535276011521,5,3,Tue Mar 22 16:22:35 +0000 2016
712326266527952896,3,0,Tue Mar 22 17:13:10 +0000 2016
712323559259963393,2,2,Tue Mar 22 17:02:25 +0000 2016
712316365315543041,1,0,Tue Mar 22 16:33:50 +0000 2016
712324997331570688,0,0,Tue Mar 22 17:08:08 +0000 2016
712319750928334851,2,1,Tue Mar 22 16:47:17 +0000 2016
712401616138149888,1,0,Tue Mar 22 22:12:35 +0000 2016
712315268676984833,5,0,Tue Mar 22 16:29:28 +0000 2016
712314609693106178,0,0,Tue Mar 22 16:26:51 +0000 2016
712310930512580608,3,2,Tue Mar 22 16:12:14 +0000 2016
712373046074474496,6,2,Tue Mar 22 20:19:04 +0000 2016
712316039082549248,7,1,Tue Mar 22 16:32:32 +0000 2016
712321798751150080,2,0,Tue Mar 22 16:55:25 +0000 2016
712312748386811905,0,0,Tue Mar 22 16:19:28 +0000 2016
712316458764636160,2,0,Tue Mar 22 16:34:12 +0000 2016
712322108408209408,2,2,Tue Mar 22 16:56:39 +0000 2016
712330103728971776,3,4,Tue Mar 22 17:28:25 +0000 2016
712320187823837184,0,1,Tue Mar 22 16:49:01 +0000 2016
712310326142722048,1,1,Tue Mar 22 16:09:50 +0000 2016
712392579220770816,0,0,Tue Mar 22 21:36:41 +0000 2016
712321231203110912,9,2,Tue Mar 22 16:53:10 +0000 2016
712351306707369984,1,1,Tue Mar 22 18:52:41 +0000 2016
712310546167504896,2,1,Tue Mar 22 16:10:42 +0000 2016
712339812720611328,3,1,Tue Mar 22 18:07:00 +0000 2016
712313152034111488,0,0,Tue Mar 22 16:21:04 +0000 2016
712402037816754176,1,0,Tue Mar 22 22:14:16 +0000 2016
712310337811275776,0,0,Tue Mar 22 16:09:53 +0000 2016
712316593070407680,6,3,Tue Mar 22 16:34:44 +0000 2016
712317858361905152,0,0,Tue Mar 22 16:39:46 +0000 2016
712338595244335104,10,2,Tue Mar 22 18:02:10 +0000 2016
712313567970590721,2,0,Tue Mar 22 16:22:43 +0000 2016
712318537449115648,3,4,Tue Mar 22 16:42:28 +0000 2016
712319864719822848,11,1,Tue Mar 22 16:47:44 +0000 2016
712415797964984320,0,0,Tue Mar 22 23:08:56 +0000 2016
712322069887717376,2,0,Tue Mar 22 16:56:30 +0000 2016
712321291575906304,1,0,Tue Mar 22 16:53:24 +0000 2016
712323831508013056,7,1,Tue Mar 22 17:03:30 +0000 2016
712315154633859072,1,1,Tue Mar 22 16:29:01 +0000 2016
712413196062076929,6,0,Tue Mar 22 22:58:36 +0000 2016
